replicate,commission_area,f1_area
0,0.18594542473675926,0.6004434287933639
1,0.18784300840953988,0.5984108908349307
2,0.19278647552081402,0.59735589743481
3,0.1833384507992457,0.6054698426626648
4,0.1812020423933441,0.6066924048243388
5,0.19282018796262873,0.597519902274374
6,0.18198945965193958,0.6117252123512571
7,0.18680683434413253,0.601871699289
8,0.18447575556005183,0.5994380913064663
9,0.19512269622407186,0.5971783577088067
10,0.18094836569308045,0.6077922663760867
11,0.18598965649130075,0.6042740250875173
12,0.19174025366152792,0.6083099812520332
13,0.18764152676026188,0.611084918481907
14,0.1785072032907166,0.6146211187274947
15,0.19264922695400014,0.5991768965590029
16,0.19039530146228706,0.5992617392835594
17,0.18782582408765064,0.6000632944679157
18,0.1964250788817908,0.5858949317894885
19,0.17655649766685397,0.6113453784385384
20,0.1895785219914359,0.6119745520481381
21,0.18994315175096388,0.5979838117248806
22,0.18553342189130112,0.6132233722628345
23,0.19232168511780381,0.5987578466061979
24,0.19347184142266446,0.6008977304408015
25,0.20131549266216978,0.5923496761919033
26,0.18036346984727678,0.6091407027427518
27,0.1764703456457426,0.6005595547453222
28,0.18484438525353789,0.5990999914715032
29,0.18460802826563172,0.5977996409017807
30,0.18361911403202388,0.6060375036767164
31,0.18782681106031462,0.6092435999855794
32,0.19670656018687785,0.5913216413011054
33,0.18174479197075188,0.5994222274536128
34,0.18882405489768458,0.604525424469114
35,0.19224647734172104,0.6026541650851297
36,0.1785279274929592,0.5953762999772806
37,0.18584047434533668,0.60118450566581
38,0.18519675080321885,0.6029589300602338
39,0.1931836825714508,0.6031417131789162
40,0.1889776549437117,0.5978953421659887
41,0.18688428929885748,0.6127794731463578
42,0.17892151406878176,0.616002356821654
43,0.20159977013945496,0.5921686683599402
44,0.1874497383215415,0.6082335115812602
45,0.2023532494187493,0.5899686379255794
46,0.19911962462203417,0.59019049624097
47,0.17603623253077236,0.6096347987097209
48,0.19108786635771285,0.592668806315749
49,0.19674032815624104,0.592168350629159
50,0.1942938687054663,0.6023688859699066
51,0.20478298094214512,0.5837710095400787
52,0.1858038323046461,0.6027815844146917
53,0.17716849371358875,0.6031103544953229
54,0.18596812773682694,0.5971769829530065
55,0.19228084375431395,0.6075774253908224
56,0.1899784737354847,0.6067994828630005
57,0.1807807534767228,0.6090770690615755
58,0.1796812352824433,0.6063410958439996
59,0.1882935272023066,0.6062874371527895
60,0.179153379267902,0.612434446351037
61,0.19718812414240455,0.5960826371466098
62,0.19265083647273618,0.589744288401744
63,0.20842901224293478,0.59305216176847
64,0.19418518789783654,0.5953111434780668
65,0.1937124183670057,0.6032670362983193
66,0.18620184113200858,0.6144030999173893
67,0.17413296151643717,0.617886406026834
68,0.18223231331392845,0.6052577143705098
69,0.1825377654974503,0.6059437269549239
70,0.19463734073015163,0.5966790586408159
71,0.192952898079009,0.6076170633006502
72,0.18751383653167203,0.6060015798089385
73,0.18826188224353826,0.5991960100282286
74,0.1873047216830594,0.6063733241211555
75,0.1830879490102991,0.604862128558677
76,0.19449239026368487,0.6003737244767424
77,0.19825033523900124,0.599968312226454
78,0.18456438107183362,0.6042188128074466
79,0.1951194432122648,0.597591060131057
80,0.1773056703015425,0.6111074873489786
81,0.18469503560425024,0.6028096313460924
82,0.1720368665513456,0.6055087349434172
83,0.18663405389081544,0.6039850050989019
84,0.1871521657549365,0.5984138448175491
85,0.1811777666253208,0.6194895494983105
86,0.19070810952423117,0.5947683669075376
87,0.1795358328610107,0.5965935155948292
88,0.19076081050090637,0.5909947278737867
89,0.17914443923292783,0.5970743860286319
90,0.1819179530628022,0.6051286176294896
91,0.1934714802502276,0.5967356122215574
92,0.18400076578898797,0.5991534435268254
93,0.20267289384924544,0.5886301528041811
94,0.19527270862016777,0.6050883177091814
95,0.17435497212267698,0.6229272894224449
96,0.1891781189927573,0.5936425790434293
97,0.17927939050707029,0.6129210553750617
98,0.178885427269763,0.6217599525775741
99,0.1894792566152394,0.6001293994537594
100,0.19006067322757839,0.6081245316958146
101,0.18414105928572438,0.5991678365879912
102,0.18149389344537253,0.6077497271629658
103,0.18995412789420282,0.602108993356976
104,0.1913298010597178,0.5893478741780646
105,0.18514292094723434,0.5943336585407303
106,0.19210037422200443,0.6016627667263311
107,0.18720816927327813,0.6026747494720244
108,0.1945439684850086,0.5910908211728161
109,0.1930786440743696,0.6049221356593747
110,0.16164976542506407,0.6152139344204384
111,0.19028399037053695,0.6018058323400053
112,0.1879770085898998,0.5983008280356826
113,0.18370964540666104,0.5929799597846687
114,0.17730683476002498,0.6081609805814028
115,0.18788724294975132,0.6048849071088019
116,0.18844195144786838,0.6059224227849784
117,0.18112526602419152,0.6089907653813348
118,0.189523589722936,0.6072855626624248
119,0.18097540368501167,0.6132759878574527
120,0.1857356201901736,0.6050883486372968
121,0.19276092147841442,0.5895264874456791
122,0.19059173255981884,0.6057704284050075
123,0.19655988458001683,0.5972657634119981
124,0.18779514768383251,0.6026666361743783
125,0.1870904723937456,0.6033828721788503
126,0.16649530891394626,0.6079637296460705
127,0.1903868407734826,0.6054034338506494
128,0.1755439185385232,0.6062003714047232
129,0.17493419086815964,0.6098938179356813
130,0.17951644998594923,0.6112820331791583
131,0.18944140032578446,0.608827764599025
